Question,Answer Disease,Answer Index,Number of Symptoms,llama31b_Answer,extracted,check
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Eye redness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Corneal disorder 2) Diverticulitis 3) Thoracic aortic aneurysm 4) Arthritis of the hip",Corneal disorder,1,3,"1) Corneal disorder
Explanation: The patient is presenting with symptoms of diminished vision, pain in the eye, and eye redness. These symptoms are most commonly associated with a corneal disorder, such as keratitis or a cor",1,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Eye redness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Arthritis of the hip 2) Corneal disorder 3) Thoracic aortic aneurysm 4) Diverticulitis",Corneal disorder,2,3,"2) Corneal disorder
Explanation: The patient is presenting with symptoms of diminished vision, pain in the eye, and eye redness. These symptoms are most consistent with a corneal disorder, such as keratitis or corneal",2,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Eye redness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Thoracic aortic aneurysm 2) Diverticulitis 3) Corneal disorder 4) Arthritis of the hip",Corneal disorder,3,3,"3) Corneal disorder
Explanation: The patient is presenting with symptoms of diminished vision, pain in the eye, and eye redness. These symptoms are most consistent with a corneal disorder, such as keratitis or corneal",3,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Eye redness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Arthritis of the hip 2) Thoracic aortic aneurysm 3) Diverticulitis 4) Corneal disorder",Corneal disorder,4,3,"4) Corneal disorder
Explanation: The patient is presenting with symptoms of diminished vision, pain in the eye, and eye redness. These symptoms are most consistent with a corneal disorder, such as keratitis or corneal",4,same
"A patient is presenting with the following symptoms: Difficulty in swallowing, Vomiting, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Foreign body in the gastrointestinal tract 2) Primary thrombocythemia 3) Injury to the shoulder 4) Presbyacusis",Foreign body in the gastrointestinal tract,1,3,"1) Foreign body in the gastrointestinal tract
Explanation: The patient is presenting with difficulty in swallowing, vomiting, and sharp abdominal pain. These symptoms are most consistent with a foreign body in the gastrointestinal tract. Difficulty in swallowing (dysphag",1,same
"A patient is presenting with the following symptoms: Difficulty in swallowing, Vomiting, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the shoulder 2) Foreign body in the gastrointestinal tract 3) Primary thrombocythemia 4) Presbyacusis",Foreign body in the gastrointestinal tract,2,3,"2) Foreign body in the gastrointestinal tract
Explanation: The patient is presenting with difficulty in swallowing, vomiting, and sharp abdominal pain. These symptoms are suggestive of a foreign body in the gastrointestinal tract. The difficulty in swallowing (dysphag",2,same
"A patient is presenting with the following symptoms: Difficulty in swallowing, Vomiting, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Primary thrombocythemia 2) Injury to the shoulder 3) Foreign body in the gastrointestinal tract 4) Presbyacusis",Foreign body in the gastrointestinal tract,3,3,"3) Foreign body in the gastrointestinal tract
Explanation: The symptoms of difficulty in swallowing, vomiting, and sharp abdominal pain are indicative of a foreign body in the gastrointestinal tract. This condition can cause obstruction and irritation of the gastrointestinal tract, leading to",3,same
"A patient is presenting with the following symptoms: Difficulty in swallowing, Vomiting, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the shoulder 2) Primary thrombocythemia 3) Presbyacusis 4) Foreign body in the gastrointestinal tract",Foreign body in the gastrointestinal tract,4,3,"4) Foreign body in the gastrointestinal tract
Explanation: The symptoms of difficulty in swallowing, vomiting, and sharp abdominal pain are indicative of a foreign body in the gastrointestinal tract. This is because the foreign body can cause obstruction in the esophagus",4,same
"A patient is presenting with the following symptoms: Pain in eye, Eye redness, Swollen eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Endophthalmitis 2) Kaposi sarcoma 3) Induced abortion 4) Coronary atherosclerosis",Endophthalmitis,1,3,"1) Endophthalmitis
Explanation: Endophthalmitis is an inflammation of the interior of the eye, usually caused by infection. The symptoms of endophthalmitis include eye pain, redness, and swelling. The",1,same
"A patient is presenting with the following symptoms: Pain in eye, Eye redness, Swollen eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Induced abortion 2) Endophthalmitis 3) Coronary atherosclerosis 4) Kaposi sarcoma",Endophthalmitis,2,3,"2) Endophthalmitis
Explanation: Endophthalmitis is an inflammation of the interior of the eye, usually caused by infection. Symptoms include eye pain, redness, and swelling. The other options are not related to eye",2,same
"A patient is presenting with the following symptoms: Pain in eye, Eye redness, Swollen eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Kaposi sarcoma 2) Coronary atherosclerosis 3) Endophthalmitis 4) Induced abortion",Endophthalmitis,3,3,"3) Endophthalmitis
Explanation: Endophthalmitis is an inflammation of the interior of the eye, usually caused by infection. The symptoms of endophthalmitis include eye pain, redness, and swelling. The",3,same
"A patient is presenting with the following symptoms: Pain in eye, Eye redness, Swollen eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Induced abortion 2) Coronary atherosclerosis 3) Kaposi sarcoma 4) Endophthalmitis",Endophthalmitis,4,3,"4) Endophthalmitis
Explanation: Endophthalmitis is an inflammation of the interior of the eye, usually caused by infection. The symptoms of endophthalmitis include eye pain, redness, and swelling. The",4,same
"A patient is presenting with the following symptoms: Diarrhea, Vomiting, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Intestinal malabsorption 2) Dislocation of the patella 3) Schizophrenia 4) Female infertility of unknown cause",Intestinal malabsorption,1,3,"1) Intestinal malabsorption
Explanation: The patient is presenting with symptoms of Diarrhea, Vomiting, and Sharp abdominal pain. These symptoms are most commonly associated with Intestinal malabsorption. Intestinal malabsorption is",1,same
"A patient is presenting with the following symptoms: Diarrhea, Vomiting, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the patella 2) Intestinal malabsorption 3) Female infertility of unknown cause 4) Schizophrenia",Intestinal malabsorption,2,3,"2) Intestinal malabsorption
Explanation: The patient is presenting with symptoms of Diarrhea, Vomiting, and Sharp abdominal pain. These symptoms are consistent with Intestinal malabsorption, which is a condition where the body is",2,same
"A patient is presenting with the following symptoms: Diarrhea, Vomiting, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Schizophrenia 2) Dislocation of the patella 3) Intestinal malabsorption 4) Female infertility of unknown cause",Intestinal malabsorption,3,3,"3) Intestinal malabsorption
Explanation: The patient is presenting with symptoms of Diarrhea, Vomiting, and Sharp abdominal pain. These symptoms are most commonly associated with Intestinal malabsorption. Intestinal malabsorption is",3,same
"A patient is presenting with the following symptoms: Diarrhea, Vomiting, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the patella 2) Female infertility of unknown cause 3) Schizophrenia 4) Intestinal malabsorption",Intestinal malabsorption,4,3,"4) Intestinal malabsorption
Explanation: The patient is presenting with symptoms of Diarrhea, Vomiting, and Sharp abdominal pain. These symptoms are indicative of a gastrointestinal issue. Intestinal malabsorption is a condition where the",4,same
"A patient is presenting with the following symptoms: Pain in eye, Shoulder cramps or spasms, Facial pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lead poisoning 2) Drug abuse (methamphetamine) 3) Actinic keratosis 4) Acute fatty liver of pregnancy (AFLP)",Lead poisoning,1,3,"2) Drug abuse (methamphetamine) 
Explanation: The patient is presenting with symptoms of eye pain, shoulder cramps or spasms, and facial pain. These symptoms are consistent with methamphetamine use. Methamphetamine use can cause a range of",2,different
"A patient is presenting with the following symptoms: Pain in eye, Shoulder cramps or spasms, Facial pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Actinic keratosis 2) Lead poisoning 3) Drug abuse (methamphetamine) 4) Acute fatty liver of pregnancy (AFLP)",Lead poisoning,2,3,"3) Drug abuse (methamphetamine) 
Explanation: The patient is presenting with eye pain, shoulder cramps or spasms, and facial pain. These symptoms are consistent with methamphetamine use. Methamphetamine use can cause a range of symptoms,",3,different
"A patient is presenting with the following symptoms: Pain in eye, Shoulder cramps or spasms, Facial pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Drug abuse (methamphetamine) 2) Actinic keratosis 3) Lead poisoning 4) Acute fatty liver of pregnancy (AFLP)",Lead poisoning,3,3,"1) Drug abuse (methamphetamine) 
Explanation: The patient is presenting with symptoms of eye pain, shoulder cramps or spasms, and facial pain. These symptoms are consistent with methamphetamine use. Methamphetamine use can cause a range of",1,different
